,Chain,Item,Type,Calories,Total Fat (g),Chol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugar (g),Protein (g)
0,Burger King,Whopper Sandwich,Whopper Sandwiches,660,40,90,980,49,2,11,28
1,Burger King,Whopper Sandwich with Cheese,Whopper Sandwiches,740,46,115,1340,50,2,11,32
2,Burger King,Bacon & Cheese Whopper Sandwich,Whopper Sandwiches,790,51,125,1560,50,2,11,35
3,Burger King,Double Whopper Sandwich,Whopper Sandwiches,900,58,175,1050,49,2,11,48
4,Burger King,Double Whopper Sandwich with Cheese,Whopper Sandwiches,980,64,195,1410,50,2,11,52
5,Burger King,Triple Whopper Sandwich,Whopper Sandwiches,1130,75,255,1120,49,2,11,67
6,Burger King,Triple Whopper Sandwich with Cheese,Whopper Sandwiches,1220,82,280,1470,50,2,11,71
7,Burger King,Whopper JR Sandwich,Whopper Sandwiches,310,18,40,390,27,1,7,13
8,Burger King,Bacon King Sandwich,Flame Broiled Burgers,1150,79,240,2150,49,2,10,61
9,Burger King,Cheddar Bacon King Sandwich,Flame Broiled Burgers,1190,84,235,1930,50,2,11,64
10,Burger King,Single Quarter Pound King Sandwich,Flame Broiled Burgers,580,29,105,1310,49,2,10,32
11,Burger King,Double Quarter Pound King Sandwich,Flame Broiled Burgers,900,54,210,1740,50,2,11,56
12,Burger King,Single Stacker King,Flame Broiled Burgers,700,42,125,1360,48,1,10,35
13,Burger King,Double Stacker King,Flame Broiled Burgers,1050,68,235,1870,49,1,11,61
14,Burger King,Impossible Whopper Sandwich,Flame Broiled Burgers,630,34,10,1080,58,4,12,25
15,Burger King,Hamburger,Flame Broiled Burgers,240,10,35,380,26,1,6,13
16,Burger King,Cheeseburger,Flame Broiled Burgers,280,13,45,560,27,1,7,15
17,Burger King,Double Hamburger,Flame Broiled Burgers,350,18,70,410,26,1,6,21
18,Burger King,Double Cheeseburger,Flame Broiled Burgers,390,21,85,590,27,1,7,23
19,Burger King,Extra Long Cheeseburger,Flame Broiled Burgers,630,37,100,1050,45,2,9,29
20,Burger King,Bacon Cheeseburger,Flame Broiled Burgers,320,16,55,710,27,1,7,17
